net,length_um
_0488_,13.16µm
_1436_,13.13µm
_0676_,13.12µm
_1580_,13.12µm
_1395_,13.1µm
_1105_,13.08µm
net234,13.06µm
_0476_,13.04µm
_0851_,13.04µm
_1001_,13.04µm
_1380_,13.04µm
_1488_,13µm
_0204_,12.96µm
_0460_,12.96µm
_0644_,12.92µm
_1533_,12.92µm
_1566_,12.895µm
_1174_,12.89µm
_0530_,12.88µm
_0717_,12.88µm
_1581_,12.88µm
_0740_,12.84µm
_1296_,12.8µm
net143,12.78µm
_0544_,12.72µm
_0922_,12.72µm
_1209_,12.72µm
_0702_,12.7µm
_0663_,12.64µm
_0697_,12.64µm
_1563_,12.6µm
_1167_,12.58µm
_1346_,12.58µm
net122,12.58µm
_1092_,12.56µm
_0256_,12.54µm
_0616_,12.54µm
_0365_,12.52µm
_0720_,12.5µm
_0160_,12.44µm
_0395_,12.44µm
_0526_,12.42µm
_1024_,12.42µm
_0231_,12.4µm
net3,12.4µm
Op_Sel[1],12.38µm
net99,12.38µm
_0500_,12.34µm
_0749_,12.34µm
_1049_,12.34µm
_1157_,12.34µm
X_crt\[14\],12.3µm
_0296_,12.3µm
X_crt\[8\],12.28µm
_1419_,12.28µm
net38,12.28µm
_1311_,12.26µm
_0496_,12.22µm
_0723_,12.2µm
_0477_,12.18µm
_0860_,12.18µm
_1376_,12.16µm
_0267_,12.14µm
net20,12.12µm
net50,12.12µm
_1327_,12.1µm
_1278_,12.08µm
_0758_,12.06µm
_0935_,12.06µm
_0325_,12.02µm
_1505_,12.02µm
_0120_,12µm
_1015_,12µm
_1091_,12µm
_1403_,12µm
_0140_,11.98µm
_0765_,11.98µm
_1553_,11.98µm
_1131_,11.96µm
_1314_,11.96µm
_1330_,11.96µm
_0680_,11.92µm
_0265_,11.88µm
_1284_,11.88µm
CRT_Done,11.84µm
_0157_,11.82µm
A_in[12],11.815µm
_0206_,11.78µm
_1042_,11.78µm
_0615_,11.76µm
_0709_,11.76µm
_0796_,11.76µm
_0925_,11.76µm
_1095_,11.76µm
_0288_,11.74µm
_1262_,11.74µm
_1304_,11.74µm
_1526_,11.74µm
_0362_,11.72µm
_0701_,11.72µm
_0868_,11.72µm
ALU_Done_all,11.7µm
_1503_,11.675µm
_0468_,11.66µm
_1148_,11.66µm
_1532_,11.66µm
_1561_,11.66µm
_0327_,11.655µm
_1191_,11.64µm
_0953_,11.62µm
_1334_,11.62µm
_0227_,11.56µm
_0281_,11.56µm
_0139_,11.54µm
_0472_,11.54µm
_1469_,11.5µm
_1227_,11.48µm
net241,11.48µm
